用户: o0神之尽头0o [270832577]
来源歌单: o0神之尽头0o喜欢的音乐 [371024084]
目标歌单: 本地歌单 [18102697793]
执行时间: 2026-06-29T10:51:30.232Z
来源曲目: 752
云盘曲目: 1167
匹配待导入: 396
成功加入: 0
目标歌单原本已有而跳过: 344
云盘未匹配: 12
调用失败: 396
反向导入补偿: 开启

[失败清单]
1. 764. ComeBack音 [sourceSongId=413077052, targetSongId=413077052, code=0, message=unknown error]
2. 757. バイバイ YESTERDAY [sourceSongId=414118123, targetSongId=414118123, code=0, message=unknown error]
3. 746. The Day You Went Away [sourceSongId=3026369, targetSongId=3026369, code=0, message=unknown error]
4. 733. 广岛之恋 [sourceSongId=276999, targetSongId=276999, code=0, message=unknown error]
5. 722. Windfall [sourceSongId=29774609, targetSongId=29774609, code=0, message=unknown error]
6. 719. 大悲咒 [sourceSongId=253165, targetSongId=253165, code=0, message=unknown error]
7. 718. 最熟悉的陌生人 [sourceSongId=307684, targetSongId=307684, code=0, message=unknown error]
8. 717. 爱的主打歌 [sourceSongId=307472, targetSongId=307472, code=0, message=unknown error]
9. 716. 金魚花火 [sourceSongId=632817, targetSongId=632817, code=0, message=unknown error]
10. 715. プラネタリウム [sourceSongId=632681, targetSongId=632681, code=0, message=unknown error]
11. 714. 極楽浄土 [sourceSongId=411907897, targetSongId=411907897, code=0, message=unknown error]
12. 713. 星语心愿 [sourceSongId=330706, targetSongId=330706, code=0, message=unknown error]
13. 709. 不如跳舞 [sourceSongId=214626, targetSongId=214626, code=0, message=unknown error]
14. 706. Butterfly [sourceSongId=22535163, targetSongId=22535163, code=0, message=unknown error]
15. 700. 断点 [sourceSongId=189236, targetSongId=189236, code=0, message=unknown error]
16. 691. Somewhere I Belong [sourceSongId=4153490, targetSongId=4153490, code=0, message=unknown error]
17. 689. 类似爱情 [sourceSongId=307057, targetSongId=307057, code=0, message=unknown error]
18. 680. 相依为命 [sourceSongId=94639, targetSongId=94639, code=0, message=unknown error]
19. 679. Lydia [sourceSongId=354588, targetSongId=354588, code=0, message=unknown error]
20. 673. 生命樹 [sourceSongId=25702173, targetSongId=25702173, code=0, message=unknown error]
21. 669. At The Edge [sourceSongId=448596416, targetSongId=448596416, code=0, message=unknown error]
22. 667. 风花雪月 [sourceSongId=32174251, targetSongId=32174251, code=0, message=unknown error]
23. 666. 千纸鹤 [sourceSongId=151146, targetSongId=151146, code=0, message=unknown error]
24. 665. Immortal [sourceSongId=2061739, targetSongId=2061739, code=0, message=unknown error]
25. 664. Crawling [sourceSongId=4153676, targetSongId=4153676, code=0, message=unknown error]
26. 663. 花は桜 君は美し [sourceSongId=718840, targetSongId=718840, code=0, message=unknown error]
27. 662. Liberators [sourceSongId=41630480, targetSongId=41630480, code=0, message=unknown error]
28. 660. 下沙 [sourceSongId=176640, targetSongId=176640, code=0, message=unknown error]
29. 659. 瞳染 (TV Size) [sourceSongId=490054996, targetSongId=490054996, code=0, message=unknown error]
30. 658. 东流 [sourceSongId=462688462, targetSongId=462688462, code=0, message=unknown error]
31. 657. 锦里 [sourceSongId=441617611, targetSongId=441617611, code=0, message=unknown error]
32. 656. 琵琶语 古筝版 [sourceSongId=426341501, targetSongId=426341501, code=0, message=unknown error]
33. 655. 阁楼 [sourceSongId=213791, targetSongId=213791, code=0, message=unknown error]
34. 654. Rise - Epic Music [sourceSongId=28283137, targetSongId=28283137, code=0, message=unknown error]
35. 653. 蓝眼泪 [sourceSongId=69840, targetSongId=69840, code=0, message=unknown error]
36. 652. 太早 [sourceSongId=126946, targetSongId=126946, code=0, message=unknown error]
37. 651. 海阔天空 [sourceSongId=347230, targetSongId=347230, code=0, message=unknown error]
38. 650. 窗外 [sourceSongId=126443, targetSongId=126443, code=0, message=unknown error]
39. 649. 牵手 [sourceSongId=287752, targetSongId=287752, code=0, message=unknown error]
40. 645. 爱上张无忌 [sourceSongId=166321, targetSongId=166321, code=0, message=unknown error]
41. 643. 孤独 [sourceSongId=784555, targetSongId=784555, code=0, message=unknown error]
42. 642. 红颜旧 [sourceSongId=32924132, targetSongId=32924132, code=0, message=unknown error]
43. 641. 魅影醉 [sourceSongId=29095517, targetSongId=29095517, code=0, message=unknown error]
44. 637. 回レ！雪月花 [sourceSongId=28018274, targetSongId=28018274, code=0, message=unknown error]
45. 636. Bad Apple!! [sourceSongId=22645196, targetSongId=22645196, code=0, message=unknown error]
46. 635. 找一个字代替 [sourceSongId=151765, targetSongId=151765, code=0, message=unknown error]
47. 633. 惊蛰·归云 [sourceSongId=31062292, targetSongId=31062292, code=0, message=unknown error]
48. 632. EXEC_COSMOFLIPS/. [sourceSongId=26377651, targetSongId=26377651, code=0, message=unknown error]
49. 631. 半壶纱 [sourceSongId=28793140, targetSongId=28793140, code=0, message=unknown error]
50. 630. 片翼の鳥 [sourceSongId=642869, targetSongId=642869, code=0, message=unknown error]
51. 629. 紅炎 [sourceSongId=530412, targetSongId=530412, code=0, message=unknown error]
52. 628. 雨蝶 [sourceSongId=258235, targetSongId=258235, code=0, message=unknown error]
53. 626. LAST STARDUST [sourceSongId=476081885, targetSongId=476081885, code=0, message=unknown error]
54. 624. 荀彧(纯音乐版) [sourceSongId=30039520, targetSongId=30039520, code=0, message=unknown error]
55. 623. 老街 [sourceSongId=133998, targetSongId=133998, code=0, message=unknown error]
56. 622. 荒州梦 [sourceSongId=29498435, targetSongId=29498435, code=0, message=unknown error]
57. 621. 无伤曲 [sourceSongId=169092, targetSongId=169092, code=0, message=unknown error]
58. 619. 辉月 [sourceSongId=427609548, targetSongId=427609548, code=0, message=unknown error]
59. 617. 苍山 [sourceSongId=174517, targetSongId=174517, code=0, message=unknown error]
60. 616. 流云 [sourceSongId=427609546, targetSongId=427609546, code=0, message=unknown error]
61. 615. 海棠 [sourceSongId=427017602, targetSongId=427017602, code=0, message=unknown error]
62. 613. Heist [sourceSongId=35331692, targetSongId=35331692, code=0, message=unknown error]
63. 612. 踏过樱华第几桥 [sourceSongId=29437822, targetSongId=29437822, code=0, message=unknown error]
64. 611. 君卿辞 [sourceSongId=28427657, targetSongId=28427657, code=0, message=unknown error]
65. 609. 画心 [sourceSongId=27678271, targetSongId=27678271, code=0, message=unknown error]
66. 607. Soldier [sourceSongId=27969800, targetSongId=27969800, code=0, message=unknown error]
67. 605. 归途 - 锁麟囊延伸曲(薛晓/晓薛) [sourceSongId=427606738, targetSongId=427606738, code=0, message=unknown error]
68. 603. 千秋此意 [sourceSongId=413829631, targetSongId=413829631, code=0, message=unknown error]
69. 602. 烟笼长安 [sourceSongId=28660513, targetSongId=28660513, code=0, message=unknown error]
70. 597. 超越时空的思念(樱散零乱) 二胡版 [sourceSongId=28406513, targetSongId=28406513, code=0, message=unknown error]
71. 596. 全日爱 [sourceSongId=112407, targetSongId=112407, code=0, message=unknown error]
72. 595. 雨一直下 [sourceSongId=190495, targetSongId=190495, code=0, message=unknown error]
73. 594. 月亮惹的祸 [sourceSongId=190526, targetSongId=190526, code=0, message=unknown error]
74. 593. 用心良苦 [sourceSongId=190778, targetSongId=190778, code=0, message=unknown error]
75. 590. 离别 [sourceSongId=60280, targetSongId=60280, code=0, message=unknown error]
76. 588. 千千阙歌 [sourceSongId=212233, targetSongId=28819047, code=0, message=unknown error]
77. 587. 风吹草动，风云飞扬 [sourceSongId=201871, targetSongId=201871, code=0, message=unknown error]
78. 586. 一言难尽 [sourceSongId=190690, targetSongId=190690, code=0, message=unknown error]
79. 584. 信仰 [sourceSongId=25643328, targetSongId=25643328, code=0, message=unknown error]
